period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,DUNDEE,LOGANAIR LTD,S,18,0,22.222222,72.222222,5.555556,0,0,0,0,0,0,0,0,100,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,FLYBE LTD,S,46,12,0,22.413793,37.931034,3.448276,6.896552,3.448276,1.724138,3.448276,0,20.689655,24.695652,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,AER LINGUS,S,142,0,18.309859,59.15493,19.71831,0,1.408451,0,1.408451,0,0,0,3.28169,96.969697,0.171875
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,EMERALD AIRLINES UK LTD,S,10,0,10,50,40,0,0,0,0,0,0,0,1.3,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,FLYBE LTD,S,50,8,10.344828,25.862069,20.689655,6.896552,10.344828,8.62069,0,3.448276,0,13.793103,23.62,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,AER LINGUS,S,36,0,16.666667,55.555556,25,2.777778,0,0,0,0,0,0,1.111111,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,BA CITYFLYER LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,92.307692,7.961538
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,EMERALD AIRLINES (IRELAND) LIMITED,S,0,2,0,0,0,0,0,0,0,0,0,100,0,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,FLYBE LTD,S,0,2,0,0,0,0,0,0,0,0,0,100,0,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,AER LINGUS,S,31,0,19.354839,54.83871,12.903226,6.451613,3.225806,0,3.225806,0,0,0,7.225806,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,BA CITYFLYER LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,91.176471,4.911765
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,EASYJET UK LTD,S,26,0,15.384615,69.230769,7.692308,3.846154,3.846154,0,0,0,0,0,2.384615,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,EMERALD AIRLINES UK LTD,S,84,0,5.952381,48.809524,42.857143,2.380952,0,0,0,0,0,0,2.214286,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,INVERNESS,LOGANAIR LTD,S,38,0,23.684211,52.631579,21.052632,2.631579,0,0,0,0,0,0,1.473684,95.833333,1.791667
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,AER LINGUS,S,48,2,16,60,20,0,0,0,0,0,0,4,0.791667,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,BA CITYFLYER LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,91.37931,6.428571
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,EMERALD AIRLINES UK LTD,S,92,0,6.521739,51.086957,41.304348,1.086957,0,0,0,0,0,0,1.23913,0,0
