period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
133,HEATHROW,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,S,344,2,9.537572,30.924855,36.99422,10.693642,8.67052,2.601156,0,0,0,0.578035,10.581395,290,74.827586,11.910345
133,HEATHROW,FRANCE,PARIS (CHARLES DE GAULLE),BRITISH AIRWAYS PLC,S,410,16,6.338028,26.525822,35.915493,11.502347,8.920188,5.633803,0.704225,0.469484,0.234742,3.755869,18.443902,360,55.248619,21.155556
133,HEATHROW,FRANCE,TOULOUSE (BLAGNAC),BRITISH AIRWAYS PLC,S,172,6,4.494382,38.764045,30.337079,11.235955,7.865169,3.932584,0,0,0,3.370787,11.947674,132,64.393939,14.80303
133,HEATHROW,GERMANY,BERLIN BRANDENBURG,BRITISH AIRWAYS PLC,S,396,2,3.266332,31.155779,37.437186,12.81407,8.79397,5.025126,1.005025,0,0,0.502513,14.502525,329,57.575758,20.56231
133,HEATHROW,GERMANY,COLOGNE BONN,BRITISH AIRWAYS PLC,S,104,0,21.153846,38.461538,21.153846,10.576923,6.730769,0.961538,0.961538,0,0,0,8.846154,0,0,0
133,HEATHROW,GERMANY,COLOGNE BONN,EUROWINGS LUFTVERKEHRS,S,156,0,3.205128,34.615385,37.179487,11.538462,8.333333,3.846154,1.282051,0,0,0,13,154,94.230769,3.37013
133,HEATHROW,GERMANY,DUSSELDORF,BRITISH AIRWAYS PLC,S,254,4,3.100775,36.434109,35.658915,12.790698,5.426357,4.263566,0.775194,0,0,1.550388,12.519685,220,70.27027,13.354545
133,HEATHROW,GERMANY,DUSSELDORF,EUROWINGS LUFTVERKEHRS,S,224,0,5.357143,39.732143,40.625,7.589286,4.464286,2.232143,0,0,0,0,8.522321,216,89.351852,4.893519
133,HEATHROW,GERMANY,FRANKFURT MAIN,BRITISH AIRWAYS PLC,S,264,2,4.135338,28.571429,37.218045,15.413534,9.398496,3.759398,0.75188,0,0,0.75188,13.969697,270,66.176471,19.059259
133,HEATHROW,GERMANY,FRANKFURT MAIN,LUFTHANSA,S,692,28,7.222222,37.916667,30.416667,9.444444,7.777778,2.638889,0.416667,0.277778,0,3.888889,11.044798,611,81.421648,7.12766
133,HEATHROW,GERMANY,HAMBURG,BRITISH AIRWAYS PLC,S,264,12,6.15942,32.971014,35.144928,12.681159,5.072464,2.898551,0,0.724638,0,4.347826,11.856061,234,71.610169,14.440171
133,HEATHROW,GERMANY,HAMBURG,EUROWINGS LUFTVERKEHRS,S,160,4,7.317073,27.439024,37.195122,16.463415,5.487805,3.04878,0.609756,0,0,2.439024,11.70625,156,94.871795,3.089744
133,HEATHROW,GERMANY,HANOVER,BRITISH AIRWAYS PLC,S,162,2,6.707317,28.658537,32.926829,15.243902,12.195122,3.04878,0,0,0,1.219512,12.598765,98,74.489796,13.132653
133,HEATHROW,GERMANY,MUNICH,BRITISH AIRWAYS PLC,S,337,4,5.865103,32.844575,32.258065,12.903226,9.677419,4.985337,0.293255,0,0,1.173021,13.991098,302,72.697368,11.460265
133,HEATHROW,GERMANY,MUNICH,LUFTHANSA,S,513,11,5.534351,34.160305,35.687023,12.59542,7.061069,1.908397,0.381679,0.572519,0,2.099237,11.395712,472,88.559322,6.252119
