flight_id,period_id,airport_id,city_id,airline_id,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,flights_unmatched_percent,previous_year_month_flights_matched
92,123,2003,612,1111,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.5,,
93,123,2003,624,1113,S,114,0,6.140351,52.631579,25.438596,5.263158,3.508772,5.263158,1.754386,0,0,0,11.868421,97.183099,1.633803,,
94,123,2003,641,1112,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6,,
95,123,2003,683,1113,S,0,0,0,0,0,0,0,0,0,0,0,0,0,97.058824,2.264706,,
96,123,2003,684,1113,S,186,0,15.053763,49.462366,19.354839,10.215054,4.83871,0.537634,0,0.537634,0,0,7.139785,96.323529,2.117647,,
97,123,2003,706,1113,S,154,0,16.883117,55.194805,20.12987,4.545455,0.649351,1.948052,0,0.649351,0,0,5.246753,96.923077,1.7,,
98,123,2003,706,1125,C,1,0,0,0,100,0,0,0,0,0,0,0,5,0,0,,
99,123,2003,736,1113,S,20,0,5,75,20,0,0,0,0,0,0,0,1.7,75,13.5,,
100,123,2003,770,1113,S,30,0,6.666667,56.666667,23.333333,6.666667,0,6.666667,0,0,0,0,8.266667,97.222222,0.916667,,
101,123,2003,775,1113,S,176,0,3.409091,65.909091,17.613636,7.954545,3.977273,0.568182,0.568182,0,0,0,5.409091,95.934959,2.260163,,
102,123,2003,699,1113,S,268,0,9.701493,54.477612,26.492537,5.223881,2.238806,1.865672,0,0,0,0,5.402985,90.517241,4.801724,,
103,123,2003,720,1114,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
104,123,2003,720,1124,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,,
105,123,2003,782,1113,S,208,0,7.211538,53.365385,26.442308,6.730769,4.326923,1.442308,0.480769,0,0,0,6.918269,95.081967,2.254098,,
106,123,2003,912,1113,S,186,0,2.150538,60.752688,23.11828,8.602151,2.688172,1.612903,1.075269,0,0,0,6.903226,97.321429,2.205357,,
107,123,2003,794,1113,S,198,0,7.575758,62.121212,20.20202,4.040404,1.010101,4.040404,0,1.010101,0,0,7.818182,95.205479,2.294521,,
108,123,2003,825,1113,S,108,0,3.703704,51.851852,23.148148,12.037037,5.555556,0,3.703704,0,0,0,12,99.056604,0.613208,,
109,123,2003,590,1128,C,1,0,0,0,0,0,0,100,0,0,0,0,102,0,0,,
110,123,2003,884,1127,S,8,0,12.5,25,37.5,0,12.5,12.5,0,0,0,0,14.625,70,20.6,,
111,123,2003,654,1129,C,0,0,0,0,0,0,0,0,0,0,0,0,0,50,13,,
112,123,2003,762,1127,C,2,0,50,0,0,0,50,0,0,0,0,0,30,0,0,,
113,123,2003,786,1113,S,22,0,18.181818,45.454545,22.727273,4.545455,9.090909,0,0,0,0,0,6.409091,100,0,,
114,123,2003,595,1121,C,1,0,0,0,100,0,0,0,0,0,0,0,11,0,0,,
115,123,2003,843,1113,S,40,0,0,25,35,22.5,12.5,5,0,0,0,0,18.55,60,14.1,,
116,123,2003,845,1130,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.214286,,
117,123,2003,678,1131,C,2,0,0,0,50,0,50,0,0,0,0,0,29.5,0,0,,
118,123,2003,678,1122,C,1,0,0,0,0,100,0,0,0,0,0,0,22,0,0,,
119,123,2003,946,1132,C,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,,
120,123,2003,568,1113,S,44,0,6.818182,40.909091,18.181818,11.363636,15.909091,2.272727,4.545455,0,0,0,19.431818,62.5,13.6875,,
121,123,2003,692,1113,S,20,0,0,50,35,15,0,0,0,0,0,0,5.9,75,11.25,,
122,123,2003,563,1113,S,26,0,7.692308,65.384615,26.923077,0,0,0,0,0,0,0,1.807692,100,0.863636,,
123,123,2003,563,1127,S,18,0,11.111111,55.555556,33.333333,0,0,0,0,0,0,0,0.722222,100,0,,
124,123,2003,790,1113,S,32,0,0,34.375,34.375,25,6.25,0,0,0,0,0,10.1875,95.454545,3.454545,,
125,123,2003,575,1113,S,19,0,0,68.421053,26.315789,5.263158,0,0,0,0,0,0,3.473684,83.333333,6.888889,,
126,123,2003,575,1127,S,28,0,7.142857,46.428571,35.714286,7.142857,3.571429,0,0,0,0,0,5.357143,89.285714,13.035714,,
127,123,2003,697,1127,S,16,0,6.25,50,31.25,12.5,0,0,0,0,0,0,5.0625,100,1.055556,,
128,123,2003,767,1113,S,18,0,0,38.888889,38.888889,16.666667,5.555556,0,0,0,0,0,8.333333,33.333333,31,,
129,123,2003,767,1127,S,18,0,16.666667,33.333333,38.888889,5.555556,5.555556,0,0,0,0,0,5.277778,88.888889,12.722222,,
130,123,2003,934,1113,S,17,0,23.529412,35.294118,29.411765,11.764706,0,0,0,0,0,0,3.882353,94.444444,3.166667,,
131,123,2003,934,1127,S,44,0,13.636364,38.636364,38.636364,4.545455,4.545455,0,0,0,0,0,4.318182,100,2.214286,,
132,123,2003,934,1122,C,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,,
133,123,2003,702,1113,S,40,0,0,32.5,27.5,22.5,15,2.5,0,0,0,0,13.225,64.705882,14.970588,,
134,123,2004,613,1122,S,18,0,16.666667,16.666667,61.111111,5.555556,0,0,0,0,0,0,5.388889,72.222222,7.777778,,
135,123,2004,730,1133,S,1,0,0,0,0,100,0,0,0,0,0,0,24,0,0,,
136,123,2004,730,1122,S,18,0,0,16.666667,50,22.222222,0,11.111111,0,0,0,0,17.666667,60,21.3,,
137,123,2004,622,1122,C,33,0,0,9.090909,30.30303,15.151515,24.242424,12.121212,6.060606,3.030303,0,0,42.515152,39.130435,34.26087,,
138,123,2004,622,1122,S,1,0,0,0,0,0,100,0,0,0,0,0,33,0,0,,
139,123,2004,806,1122,C,19,0,10.526316,5.263158,15.789474,26.315789,15.789474,15.789474,5.263158,0,5.263158,0,112.052632,87.5,6.125,,
140,123,2004,638,1122,S,18,0,5.555556,16.666667,22.222222,11.111111,11.111111,27.777778,5.555556,0,0,0,40.555556,52,23.88,,
141,123,2004,907,1121,S,20,0,5,40,25,10,15,0,0,5,0,0,21.55,91.304348,4.727273,,
142,123,2004,907,1122,C,8,0,0,12.5,37.5,12.5,12.5,12.5,12.5,0,0,0,40.125,50,29.9,,
143,123,2004,863,1134,S,0,0,0,0,0,0,0,0,0,0,0,0,0,66.666667,9.666667,,
144,123,2004,863,1127,S,18,0,33.333333,44.444444,22.222222,0,0,0,0,0,0,0,1.111111,100,0,,
145,123,2004,629,1127,S,18,0,38.888889,38.888889,22.222222,0,0,0,0,0,0,0,0.388889,0,0,,
146,123,2004,629,1110,S,20,0,25,20,40,5,10,0,0,0,0,0,7.55,91.666667,5.166667,,
147,123,2004,962,1121,S,18,0,0,44.444444,27.777778,11.111111,5.555556,5.555556,5.555556,0,0,0,19.111111,83.333333,7.833333,,
148,123,2004,962,1110,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,,
149,123,2004,632,1121,S,26,0,7.692308,50,30.769231,0,11.538462,0,0,0,0,0,7.269231,100,1.65,,
150,123,2004,701,1121,S,20,0,10,30,35,10,10,5,0,0,0,0,11.1,83.333333,5.166667,,
151,123,2004,745,1121,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7.166667,,
152,123,2004,758,1113,S,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,
153,123,2004,758,1127,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,
154,123,2004,758,1121,S,27,0,3.703704,25.925926,48.148148,7.407407,0,3.703704,0,11.111111,0,0,37.111111,87.5,5.333333,,
155,123,2004,758,1110,S,16,0,18.75,18.75,37.5,12.5,12.5,0,0,0,0,0,11,83.333333,10,,
156,123,2004,862,1121,S,18,0,11.111111,38.888889,38.888889,11.111111,0,0,0,0,0,0,4.055556,33.333333,27.166667,,
157,123,2004,963,1110,S,20,0,10,40,25,10,10,5,0,0,0,0,13.25,66.666667,15,,
158,123,2004,964,1121,S,30,0,3.333333,66.666667,20,3.333333,3.333333,3.333333,0,0,0,0,5.5,90,3.45,,
159,123,2004,967,1110,S,18,0,16.666667,33.333333,27.777778,11.111111,0,0,11.111111,0,0,0,20.388889,16.666667,18.666667,,
160,123,2004,628,1135,S,0,0,0,0,0,0,0,0,0,0,0,0,0,75,6.75,,
161,123,2004,628,1121,S,36,0,5.555556,27.777778,38.888889,13.888889,5.555556,8.333333,0,0,0,0,13.5,63.636364,15.545455,,
162,123,2004,628,1110,S,38,0,10.526316,15.789474,28.947368,18.421053,15.789474,7.894737,2.631579,0,0,0,22.052632,54.545455,19.5,,
163,123,2004,655,1110,S,18,0,22.222222,16.666667,33.333333,16.666667,11.111111,0,0,0,0,0,8.611111,87.5,7.875,,
164,123,2004,662,1110,S,20,0,20,10,30,10,10,15,5,0,0,0,28.6,64.285714,11.857143,,
165,123,2004,728,1110,S,0,0,0,0,0,0,0,0,0,0,0,0,0,50,23.666667,,
166,123,2004,620,1121,S,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5.875,,
